,Sector,Climate,Health,Intersection,Year
0,aerospace & defense,0.0,0.0,0.0,2023
1,alternative energy,0.92,0.77,0.38,2023
2,automobiles & parts,0.58,0.65,0.35,2023
3,banks,1.0,1.0,0.67,2023
4,beverages,0.93,0.81,0.37,2023
5,chemicals,0.89,0.9,0.65,2023
6,construction & materials,0.63,0.74,0.31,2023
7,diversified,0.9,0.89,0.42,2023
8,electricity,1.0,1.0,0.5,2023
9,electronic & electrical equ...,0.6,0.83,0.27,2023
10,finance and credit services,1.0,1.0,0.27,2023
11,financial services,0.72,0.76,0.35,2023
12,food producers,0.94,0.96,0.71,2023
13,general industrials,0.74,0.89,0.45,2023
14,household goods & home cons...,0.96,0.92,0.42,2023
15,industrial engineering,1.0,1.0,0.8,2023
16,industrial materials,0.75,0.75,0.75,2023
17,industrial metals & mining,0.77,0.94,0.48,2023
18,industrial metals and mining,0.88,1.0,0.75,2023
19,industrial support services,0.67,0.76,0.24,2023
20,industrial transportation,0.46,0.79,0.08,2023
21,leisure goods,1.0,1.0,1.0,2023
22,life insurance,0.67,0.67,0.33,2023
23,media,0.67,0.82,0.12,2023
24,medical equipment and services; health care providers,0.73,0.94,0.49,2023
25,nonlife insurance,0.73,0.27,0.09,2023
26,not applicable,0.52,0.82,0.3,2023
27,"oil, gas, & coal",0.93,0.93,0.58,2023
28,personal goods,0.81,0.79,0.47,2023
29,pharmaceuticals & biotechno...,0.89,0.98,0.68,2023
30,real estate investment & se...,0.73,0.9,0.42,2023
31,real estate investment trusts,0.88,1.0,0.75,2023
32,retailers,0.62,0.73,0.38,2023
33,software & computer services,0.75,0.89,0.38,2023
34,technology hardware & equip...,0.81,0.93,0.52,2023
35,telecommunications equipment; telecommunications service providers,0.58,0.95,0.32,2023
36,travel & leisure,0.81,0.84,0.28,2023
