,WHO,Year,intersection,climate,health,sum,Sector
0,Americas,2011.0,0.0,4.0,76.0,80.0,medical equipment and services; health care providers or health care
1,Americas,2012.0,1.0,4.0,77.0,82.0,medical equipment and services; health care providers or health care
2,Americas,2013.0,0.0,0.0,94.0,94.0,medical equipment and services; health care providers or health care
3,Americas,2014.0,0.0,2.0,88.0,90.0,medical equipment and services; health care providers or health care
4,Americas,2015.0,0.0,0.0,100.0,100.0,medical equipment and services; health care providers or health care
5,Americas,2017.0,2.0,28.0,40.0,70.0,medical equipment and services; health care providers or health care
6,Americas,2018.0,8.0,24.0,69.0,101.0,medical equipment and services; health care providers or health care
7,Americas,2019.0,9.0,35.0,444.0,488.0,medical equipment and services; health care providers or health care
8,Americas,2020.0,1.0,14.0,85.0,100.0,medical equipment and services; health care providers or health care
9,Americas,2021.0,26.0,148.0,778.0,952.0,medical equipment and services; health care providers or health care
10,Americas,2022.0,62.0,188.0,640.0,890.0,medical equipment and services; health care providers or health care
11,Americas,2023.0,61.0,265.0,729.0,1055.0,medical equipment and services; health care providers or health care
