,WHO,Year,intersection,climate,health,sum
0,Western Pacific,2011.0,0.0,7.0,15.0,22.0
1,Western Pacific,2012.0,0.0,0.0,0.0,0.0
2,Western Pacific,2013.0,0.0,1.0,10.0,11.0
3,Western Pacific,2014.0,0.0,1.0,22.0,23.0
4,Western Pacific,2015.0,0.0,0.0,3.0,3.0
5,Western Pacific,2016.0,0.0,1.0,18.0,19.0
6,Western Pacific,2017.0,0.0,3.0,8.0,11.0
7,Western Pacific,2018.0,2.0,4.0,10.0,16.0
8,Western Pacific,2019.0,0.0,0.0,5.0,5.0
9,Western Pacific,2020.0,4.0,5.0,27.0,36.0
10,Western Pacific,2021.0,1.0,3.0,24.0,28.0
11,Western Pacific,2022.0,1.0,9.0,19.0,29.0
12,Western Pacific,2023.0,40.0,369.0,396.0,805.0
