,Sector,intersection,climate,health
0,beverages,0.0,4.0,11.0
1,construction & materials,0.0,0.0,3.0
2,electronic & electrical equ...,1.0,3.0,16.0
3,financial services,0.0,5.0,1.0
4,food producers,0.0,1.0,5.0
5,"gas, water & multiutilities",0.0,0.0,0.0
6,general industrials,0.0,0.0,10.0
7,household goods & home cons...,23.0,152.0,196.0
8,industrial engineering,0.0,1.0,3.0
9,industrial support services,0.0,0.0,9.0
10,media,5.0,5.0,19.0
11,"oil, gas, & coal",0.0,7.0,20.0
12,personal goods,1.0,15.0,70.0
13,software & computer services,18.0,210.0,194.0
