,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011.0,0.0,7.0,15.0,22.0
1,1,Asia,2012.0,0.0,0.0,0.0,0.0
2,2,Asia,2013.0,0.0,1.0,10.0,11.0
3,3,Asia,2014.0,0.0,1.0,22.0,23.0
4,4,Asia,2015.0,0.0,0.0,3.0,3.0
5,5,Asia,2016.0,0.0,1.0,18.0,19.0
6,6,Asia,2017.0,0.0,3.0,8.0,11.0
7,7,Asia,2018.0,2.0,4.0,10.0,16.0
8,8,Asia,2019.0,0.0,0.0,5.0,5.0
9,9,Asia,2020.0,4.0,5.0,27.0,36.0
10,10,Asia,2021.0,1.0,3.0,24.0,28.0
11,11,Asia,2022.0,1.0,9.0,19.0,29.0
12,12,Asia,2023.0,40.0,369.0,396.0,805.0
