Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,2057,1288,1692,374,0.63,0.82,0.18
2012.0,3015,1727,2411,427,0.57,0.8,0.14
2013.0,3231,1817,2597,458,0.56,0.8,0.14
2014.0,3186,1793,2574,455,0.56,0.81,0.14
2015.0,3472,1981,2843,519,0.57,0.82,0.15
2016.0,3573,2012,2912,559,0.56,0.82,0.16
2017.0,3724,2164,3080,642,0.58,0.83,0.17
2018.0,3751,2216,3116,709,0.59,0.83,0.19
2019.0,4060,2526,3445,829,0.62,0.85,0.2
2020.0,3554,2477,3095,1029,0.7,0.87,0.29
2021.0,5737,4079,5060,2097,0.71,0.88,0.37
2022.0,6089,4539,5338,2337,0.75,0.88,0.38
2023.0,4567,4077,4227,2744,0.89,0.93,0.6
