,WHO,Year,intersection,climate,health,sum
12,Africa,2011.0,46.0,430.0,804.0,1280.0
13,Africa,2012.0,15.0,225.0,941.0,1181.0
14,Africa,2013.0,34.0,401.0,1429.0,1864.0
15,Africa,2014.0,53.0,511.0,1546.0,2110.0
16,Africa,2015.0,45.0,624.0,1979.0,2648.0
17,Africa,2016.0,38.0,633.0,2037.0,2708.0
18,Africa,2017.0,47.0,459.0,1378.0,1884.0
19,Africa,2018.0,24.0,370.0,1212.0,1606.0
20,Africa,2019.0,50.0,514.0,1511.0,2075.0
21,Africa,2020.0,36.0,444.0,898.0,1378.0
22,Africa,2021.0,143.0,1070.0,3148.0,4361.0
23,Africa,2022.0,133.0,1238.0,2716.0,4087.0
24,Africa,2023.0,304.0,3696.0,4421.0,8421.0
25,Americas,2011.0,259.0,3833.0,12701.0,16793.0
26,Americas,2012.0,244.0,4684.0,16110.0,21038.0
27,Americas,2013.0,304.0,4617.0,19957.0,24878.0
28,Americas,2014.0,272.0,4354.0,17185.0,21811.0
29,Americas,2015.0,335.0,4610.0,19380.0,24325.0
30,Americas,2016.0,393.0,4875.0,17893.0,23161.0
31,Americas,2017.0,432.0,5760.0,19872.0,26064.0
32,Americas,2018.0,452.0,5547.0,19866.0,25865.0
33,Americas,2019.0,479.0,6661.0,19882.0,27022.0
34,Americas,2020.0,680.0,7954.0,20517.0,29151.0
35,Americas,2021.0,2150.0,15950.0,55089.0,73189.0
36,Americas,2022.0,2326.0,22310.0,47405.0,72041.0
37,Americas,2023.0,3586.0,48546.0,57762.0,109894.0
38,Eastern Mediterranean,2011.0,15.0,119.0,504.0,638.0
39,Eastern Mediterranean,2012.0,24.0,225.0,1138.0,1387.0
40,Eastern Mediterranean,2013.0,26.0,193.0,1123.0,1342.0
41,Eastern Mediterranean,2014.0,13.0,178.0,724.0,915.0
42,Eastern Mediterranean,2015.0,12.0,266.0,1130.0,1408.0
43,Eastern Mediterranean,2016.0,24.0,348.0,1144.0,1516.0
44,Eastern Mediterranean,2017.0,25.0,340.0,1131.0,1496.0
45,Eastern Mediterranean,2018.0,38.0,742.0,1694.0,2474.0
46,Eastern Mediterranean,2019.0,37.0,706.0,1757.0,2500.0
47,Eastern Mediterranean,2020.0,46.0,433.0,1516.0,1995.0
48,Eastern Mediterranean,2021.0,104.0,777.0,3034.0,3915.0
49,Eastern Mediterranean,2022.0,146.0,1506.0,3645.0,5297.0
50,Eastern Mediterranean,2023.0,431.0,4485.0,5260.0,10176.0
51,Europe,2011.0,507.0,9192.0,18637.0,28336.0
52,Europe,2012.0,527.0,10417.0,23171.0,34115.0
53,Europe,2013.0,532.0,10815.0,23518.0,34865.0
54,Europe,2014.0,576.0,11515.0,25087.0,37178.0
55,Europe,2015.0,565.0,10976.0,25899.0,37440.0
56,Europe,2016.0,689.0,12368.0,27579.0,40636.0
57,Europe,2017.0,848.0,13125.0,28623.0,42596.0
58,Europe,2018.0,836.0,14021.0,32028.0,46885.0
59,Europe,2019.0,1166.0,18387.0,36635.0,56188.0
60,Europe,2020.0,1547.0,22876.0,40785.0,65208.0
61,Europe,2021.0,4487.0,42939.0,97413.0,144839.0
62,Europe,2022.0,4801.0,59329.0,96900.0,161030.0
63,Europe,2023.0,8225.0,130305.0,123240.0,261770.0
64,South-East Asia,2011.0,44.0,777.0,1499.0,2320.0
65,South-East Asia,2012.0,47.0,825.0,1749.0,2621.0
66,South-East Asia,2013.0,64.0,1092.0,2313.0,3469.0
67,South-East Asia,2014.0,45.0,906.0,2243.0,3194.0
68,South-East Asia,2015.0,89.0,1111.0,2949.0,4149.0
69,South-East Asia,2016.0,101.0,1318.0,2620.0,4039.0
70,South-East Asia,2017.0,89.0,885.0,2757.0,3731.0
71,South-East Asia,2018.0,97.0,1017.0,2542.0,3656.0
72,South-East Asia,2019.0,117.0,1185.0,2760.0,4062.0
73,South-East Asia,2020.0,137.0,1046.0,2406.0,3589.0
74,South-East Asia,2021.0,289.0,2337.0,5759.0,8385.0
75,South-East Asia,2022.0,264.0,2569.0,5162.0,7995.0
76,South-East Asia,2023.0,902.0,11408.0,14258.0,26568.0
77,Western Pacific,2011.0,199.0,4942.0,6292.0,11433.0
78,Western Pacific,2012.0,170.0,5760.0,7233.0,13163.0
79,Western Pacific,2013.0,256.0,5036.0,7861.0,13153.0
80,Western Pacific,2014.0,233.0,4953.0,8515.0,13701.0
81,Western Pacific,2015.0,197.0,4473.0,8200.0,12870.0
82,Western Pacific,2016.0,266.0,4437.0,8152.0,12855.0
83,Western Pacific,2017.0,357.0,6028.0,10393.0,16778.0
84,Western Pacific,2018.0,349.0,6012.0,11587.0,17948.0
85,Western Pacific,2019.0,497.0,8406.0,13084.0,21987.0
86,Western Pacific,2020.0,861.0,10947.0,18426.0,30234.0
87,Western Pacific,2021.0,1727.0,20824.0,32424.0,54975.0
88,Western Pacific,2022.0,2367.0,31792.0,39218.0,73377.0
89,Western Pacific,2023.0,2770.0,48619.0,44574.0,95963.0
