,Year,SIDS,Climate,Health,Intersection
1,2011.0,SIDS,0.4,0.77,0.13
5,2012.0,SIDS,0.5,0.74,0.17
9,2013.0,SIDS,0.62,0.79,0.25
13,2014.0,SIDS,0.6,0.85,0.2
17,2015.0,SIDS,0.6,0.83,0.17
21,2016.0,SIDS,0.56,0.8,0.17
25,2017.0,SIDS,0.68,0.88,0.32
29,2018.0,SIDS,0.71,0.92,0.34
33,2019.0,SIDS,0.72,0.93,0.38
37,2020.0,SIDS,0.75,0.88,0.48
41,2021.0,SIDS,0.82,0.9,0.6
45,2022.0,SIDS,0.79,0.89,0.55
49,2023.0,SIDS,0.89,0.89,0.67
2,2011.0,Tier 1,0.62,0.8,0.16
6,2012.0,Tier 1,0.54,0.77,0.12
10,2013.0,Tier 1,0.54,0.77,0.12
14,2014.0,Tier 1,0.54,0.79,0.12
18,2015.0,Tier 1,0.56,0.8,0.14
22,2016.0,Tier 1,0.56,0.81,0.14
26,2017.0,Tier 1,0.57,0.81,0.15
30,2018.0,Tier 1,0.59,0.82,0.17
34,2019.0,Tier 1,0.62,0.84,0.18
38,2020.0,Tier 1,0.7,0.87,0.26
42,2021.0,Tier 1,0.72,0.88,0.34
46,2022.0,Tier 1,0.76,0.88,0.37
50,2023.0,Tier 1,0.9,0.92,0.57
3,2011.0,Tier 2,0.66,0.83,0.2
7,2012.0,Tier 2,0.59,0.83,0.14
11,2013.0,Tier 2,0.59,0.86,0.2
15,2014.0,Tier 2,0.56,0.85,0.16
19,2015.0,Tier 2,0.57,0.82,0.16
23,2016.0,Tier 2,0.56,0.83,0.2
27,2017.0,Tier 2,0.62,0.86,0.18
31,2018.0,Tier 2,0.62,0.85,0.21
35,2019.0,Tier 2,0.61,0.87,0.26
39,2020.0,Tier 2,0.62,0.87,0.31
43,2021.0,Tier 2,0.62,0.83,0.32
47,2022.0,Tier 2,0.64,0.84,0.3
51,2023.0,Tier 2,0.91,0.94,0.64
