,HDI Level (2021),Year,intersection,climate,health,sum
0,0,2011.0,0.0,14.0,36.0,50.0
1,0,2012.0,0.0,21.0,53.0,74.0
2,0,2013.0,18.0,59.0,129.0,206.0
3,0,2014.0,17.0,52.0,102.0,171.0
4,0,2015.0,10.0,38.0,107.0,155.0
5,0,2016.0,2.0,8.0,28.0,38.0
6,0,2017.0,1.0,23.0,26.0,50.0
7,0,2018.0,2.0,36.0,32.0,70.0
8,0,2019.0,0.0,1.0,2.0,3.0
9,0,2020.0,0.0,16.0,29.0,45.0
10,0,2021.0,2.0,70.0,95.0,167.0
11,0,2022.0,0.0,80.0,100.0,180.0
12,0,2023.0,17.0,414.0,119.0,550.0
13,High,2011.0,176.0,2681.0,8818.0,11675.0
14,High,2012.0,161.0,2935.0,12115.0,15211.0
15,High,2013.0,204.0,3464.0,15766.0,19434.0
16,High,2014.0,189.0,3221.0,12064.0,15474.0
17,High,2015.0,163.0,3098.0,12713.0,15974.0
18,High,2016.0,211.0,3159.0,11984.0,15354.0
19,High,2017.0,245.0,3515.0,12936.0,16696.0
20,High,2018.0,231.0,3534.0,13138.0,16903.0
21,High,2019.0,248.0,3555.0,13109.0,16912.0
22,High,2020.0,323.0,3887.0,13134.0,17344.0
23,High,2021.0,1039.0,8089.0,33054.0,42182.0
24,High,2022.0,1222.0,11915.0,32109.0,45246.0
25,High,2023.0,2532.0,36099.0,46932.0,85563.0
26,Low,2011.0,7.0,57.0,278.0,342.0
27,Low,2012.0,7.0,81.0,412.0,500.0
28,Low,2013.0,11.0,34.0,308.0,353.0
29,Low,2014.0,5.0,35.0,318.0,358.0
30,Low,2015.0,8.0,55.0,386.0,449.0
31,Low,2016.0,11.0,78.0,364.0,453.0
32,Low,2017.0,17.0,78.0,339.0,434.0
33,Low,2018.0,17.0,174.0,741.0,932.0
34,Low,2019.0,21.0,187.0,717.0,925.0
35,Low,2020.0,20.0,103.0,380.0,503.0
36,Low,2021.0,28.0,211.0,1054.0,1293.0
37,Low,2022.0,49.0,437.0,1377.0,1863.0
38,Low,2023.0,100.0,1003.0,1067.0,2170.0
39,Medium,2011.0,49.0,662.0,1413.0,2124.0
40,Medium,2012.0,45.0,774.0,2165.0,2984.0
41,Medium,2013.0,46.0,633.0,1857.0,2536.0
42,Medium,2014.0,48.0,587.0,1923.0,2558.0
43,Medium,2015.0,80.0,785.0,2485.0,3350.0
44,Medium,2016.0,84.0,914.0,2792.0,3790.0
45,Medium,2017.0,61.0,722.0,2571.0,3354.0
46,Medium,2018.0,91.0,769.0,2664.0,3524.0
47,Medium,2019.0,83.0,1002.0,2702.0,3787.0
48,Medium,2020.0,100.0,792.0,2250.0,3142.0
49,Medium,2021.0,293.0,1941.0,6750.0,8984.0
50,Medium,2022.0,239.0,2140.0,5544.0,7923.0
51,Medium,2023.0,596.0,7742.0,10442.0,18780.0
52,Very High,2011.0,838.0,15882.0,29908.0,46628.0
53,Very High,2012.0,814.0,18329.0,35633.0,54776.0
54,Very High,2013.0,942.0,17979.0,38194.0,57115.0
55,Very High,2014.0,933.0,18522.0,40893.0,60348.0
56,Very High,2015.0,983.0,18100.0,43861.0,62944.0
57,Very High,2016.0,1203.0,19822.0,44257.0,65282.0
58,Very High,2017.0,1474.0,22271.0,48291.0,72036.0
59,Very High,2018.0,1456.0,23199.0,52360.0,77015.0
60,Very High,2019.0,1994.0,31129.0,59113.0,92236.0
61,Very High,2020.0,2864.0,38919.0,68766.0,110549.0
62,Very High,2021.0,7543.0,73663.0,156049.0,237255.0
63,Very High,2022.0,8531.0,104292.0,156052.0,268875.0
64,Very High,2023.0,12994.0,202138.0,191157.0,406289.0
