,Sector,intersection,climate,health
0,aerospace & defense,414.0,4886.0,9036.0
1,alternative energy,708.0,10716.0,9980.0
2,automobiles & parts,1056.0,19447.0,25377.0
3,banks,1358.0,29106.0,31890.0
4,basic resources,0.0,5.0,17.0
5,beverages,938.0,12150.0,22223.0
6,chemicals,2626.0,26351.0,48356.0
7,construction & materials,2305.0,31938.0,63896.0
8,diversified,3837.0,55300.0,79537.0
9,electricity,1833.0,38074.0,41602.0
10,electronic & electrical equ...,1115.0,20273.0,28125.0
11,finance and credit services,901.0,17248.0,12266.0
12,financial services,1909.0,33976.0,41000.0
13,food producers,2831.0,24660.0,71921.0
14,"gas, water & multiutilities",1132.0,19179.0,26079.0
15,general industrials,2850.0,38698.0,70806.0
16,household goods & home cons...,626.0,10643.0,17688.0
17,industrial engineering,949.0,12745.0,21448.0
18,industrial goods & services,2.0,50.0,644.0
19,industrial materials,586.0,10344.0,12508.0
20,industrial metals & mining,895.0,12060.0,28383.0
21,industrial metals and mining,1121.0,13744.0,24000.0
22,industrial support services,2501.0,37217.0,74915.0
23,industrial transportation,1178.0,17808.0,27385.0
24,investment banking and brokerage services,76.0,1579.0,1101.0
25,leisure goods,114.0,2824.0,4548.0
26,life insurance,791.0,6677.0,15503.0
27,media,307.0,6354.0,12402.0
28,medical equipment and services; health care providers,1609.0,6976.0,57567.0
29,nonlife insurance,586.0,7178.0,14929.0
30,not applicable,234.0,4136.0,16615.0
31,"oil, gas, & coal",2729.0,38127.0,55399.0
32,open end and miscellaneous investment vehicles,3.0,56.0,29.0
33,other,0.0,26.0,146.0
34,personal goods,950.0,10758.0,20303.0
35,pharmaceuticals & biotechno...,3200.0,13638.0,88040.0
36,real estate investment & se...,1059.0,17461.0,22881.0
37,real estate investment trusts,438.0,4892.0,4729.0
38,retailers,1435.0,24138.0,41984.0
39,software & computer services,1632.0,26874.0,35057.0
40,technology,0.0,8.0,51.0
41,technology hardware & equip...,1072.0,18520.0,26670.0
42,telecommunications equipment; telecommunications service providers,1033.0,16258.0,27427.0
43,travel & leisure,759.0,13127.0,22100.0
