,Sector,Climate,Health,Intersection,Year
0,aerospace & defense,0.68,0.83,0.29,2023
1,alternative energy,0.87,0.9,0.43,2023
2,automobiles & parts,0.61,0.88,0.31,2023
3,banks,0.79,0.9,0.34,2023
4,basic resources,0.33,0.67,0.0,2023
5,beverages,0.76,0.86,0.32,2023
6,chemicals,0.74,0.91,0.4,2023
7,construction & materials,0.63,0.85,0.25,2023
8,diversified,0.73,0.87,0.34,2023
9,electricity,0.85,0.9,0.38,2023
10,electronic & electrical equ...,0.6,0.8,0.23,2023
11,finance and credit services,0.84,0.9,0.47,2023
12,financial services,0.7,0.79,0.23,2023
13,food producers,0.68,0.89,0.32,2023
14,"gas, water & multiutilities",0.79,0.88,0.38,2023
15,general industrials,0.64,0.84,0.24,2023
16,household goods & home cons...,0.69,0.9,0.3,2023
17,industrial engineering,0.58,0.84,0.22,2023
18,industrial goods & services,0.46,0.8,0.04,2023
19,industrial materials,0.72,0.86,0.31,2023
20,industrial metals & mining,0.71,0.89,0.29,2023
21,industrial metals and mining,0.78,0.91,0.52,2023
22,industrial support services,0.53,0.8,0.14,2023
23,industrial transportation,0.68,0.86,0.28,2023
24,investment banking and brokerage services,0.83,0.94,0.47,2023
25,leisure goods,0.68,0.81,0.27,2023
26,life insurance,0.74,0.87,0.38,2023
27,media,0.49,0.74,0.09,2023
28,medical equipment and services; health care providers,0.57,0.92,0.26,2023
29,nonlife insurance,0.75,0.87,0.32,2023
30,not applicable,0.55,0.74,0.15,2023
31,"oil, gas, & coal",0.74,0.91,0.38,2023
32,open end and miscellaneous investment vehicles,0.75,1.0,0.5,2023
33,other,0.75,0.94,0.0,2023
34,personal goods,0.65,0.85,0.25,2023
35,pharmaceuticals & biotechno...,0.7,0.93,0.43,2023
36,real estate investment & se...,0.74,0.85,0.34,2023
37,real estate investment trusts,0.88,0.94,0.66,2023
38,retailers,0.64,0.82,0.24,2023
39,software & computer services,0.54,0.8,0.15,2023
40,technology,1.0,1.0,0.0,2023
41,technology hardware & equip...,0.65,0.85,0.27,2023
42,telecommunications equipment; telecommunications service providers,0.75,0.88,0.32,2023
43,travel & leisure,0.73,0.87,0.26,2023
