,index,LC_grouping,Year,intersection,climate,health,sum
4,4,Africa,2011.0,54.0,493.0,1003.0,1550.0
5,5,Africa,2012.0,25.0,275.0,1325.0,1625.0
6,6,Africa,2013.0,38.0,447.0,1647.0,2132.0
7,7,Africa,2014.0,53.0,536.0,1650.0,2239.0
8,8,Africa,2015.0,50.0,687.0,2287.0,3024.0
9,9,Africa,2016.0,44.0,694.0,2364.0,3102.0
10,10,Africa,2017.0,45.0,503.0,1632.0,2180.0
11,11,Africa,2018.0,32.0,500.0,1694.0,2226.0
12,12,Africa,2019.0,59.0,651.0,1974.0,2684.0
13,13,Africa,2020.0,51.0,546.0,1363.0,1960.0
14,14,Africa,2021.0,139.0,1109.0,3179.0,4427.0
15,15,Africa,2022.0,139.0,1425.0,3455.0,5019.0
16,16,Africa,2023.0,383.0,4501.0,5237.0,10121.0
17,17,Asia,2011.0,226.0,5718.0,8399.0,14343.0
18,18,Asia,2012.0,233.0,6629.0,10485.0,17347.0
19,19,Asia,2013.0,339.0,6483.0,11687.0,18509.0
20,20,Asia,2014.0,311.0,6444.0,12383.0,19138.0
21,21,Asia,2015.0,303.0,5998.0,12750.0,19051.0
22,22,Asia,2016.0,384.0,6380.0,12851.0,19615.0
23,23,Asia,2017.0,468.0,7040.0,14507.0,22015.0
24,24,Asia,2018.0,426.0,7480.0,15710.0,23616.0
25,25,Asia,2019.0,611.0,9365.0,16784.0,26760.0
26,26,Asia,2020.0,921.0,11457.0,21155.0,33533.0
27,27,Asia,2021.0,2100.0,22899.0,40082.0,65081.0
28,28,Asia,2022.0,2589.0,33452.0,45132.0,81173.0
29,29,Asia,2023.0,4316.0,69626.0,65543.0,139485.0
30,30,Europe,2011.0,490.0,8630.0,17461.0,26581.0
31,31,Europe,2012.0,501.0,9789.0,21635.0,31925.0
32,32,Europe,2013.0,499.0,10027.0,21991.0,32517.0
33,33,Europe,2014.0,537.0,10661.0,23428.0,34626.0
34,34,Europe,2015.0,523.0,10256.0,24216.0,34995.0
35,35,Europe,2016.0,634.0,11380.0,25291.0,37305.0
36,36,Europe,2017.0,795.0,12244.0,26861.0,39900.0
37,37,Europe,2018.0,766.0,12905.0,30090.0,43761.0
38,38,Europe,2019.0,1066.0,17066.0,34589.0,52721.0
39,39,Europe,2020.0,1415.0,21532.0,38383.0,61330.0
40,40,Europe,2021.0,4082.0,40013.0,91907.0,136002.0
41,41,Europe,2022.0,4463.0,56222.0,91936.0,152621.0
42,42,Europe,2023.0,7361.0,115498.0,113988.0,236847.0
43,43,Northern America,2011.0,132.0,1651.0,3298.0,5081.0
44,44,Northern America,2012.0,96.0,1699.0,3252.0,5047.0
