,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,High,2011.0,0.0,0.0,119.0,119.0,medical equipment and services; health care providers or health care
1,High,2012.0,4.0,45.0,915.0,964.0,medical equipment and services; health care providers or health care
2,High,2013.0,5.0,17.0,1362.0,1384.0,medical equipment and services; health care providers or health care
3,High,2014.0,0.0,13.0,389.0,402.0,medical equipment and services; health care providers or health care
4,High,2015.0,1.0,26.0,761.0,788.0,medical equipment and services; health care providers or health care
5,High,2016.0,3.0,9.0,640.0,652.0,medical equipment and services; health care providers or health care
6,High,2017.0,12.0,22.0,877.0,911.0,medical equipment and services; health care providers or health care
7,High,2018.0,20.0,66.0,1032.0,1118.0,medical equipment and services; health care providers or health care
8,High,2019.0,12.0,67.0,1247.0,1326.0,medical equipment and services; health care providers or health care
9,High,2020.0,14.0,49.0,1203.0,1266.0,medical equipment and services; health care providers or health care
10,High,2021.0,32.0,110.0,1760.0,1902.0,medical equipment and services; health care providers or health care
11,High,2022.0,97.0,200.0,2585.0,2882.0,medical equipment and services; health care providers or health care
12,High,2023.0,89.0,206.0,2520.0,2815.0,medical equipment and services; health care providers or health care
13,Low,2016.0,0.0,0.0,13.0,13.0,medical equipment and services; health care providers or health care
14,Low,2017.0,0.0,0.0,2.0,2.0,medical equipment and services; health care providers or health care
15,Low,2018.0,0.0,0.0,3.0,3.0,medical equipment and services; health care providers or health care
16,Low,2019.0,0.0,0.0,9.0,9.0,medical equipment and services; health care providers or health care
17,Low,2020.0,0.0,0.0,10.0,10.0,medical equipment and services; health care providers or health care
18,Low,2021.0,0.0,0.0,12.0,12.0,medical equipment and services; health care providers or health care
19,Low,2022.0,0.0,0.0,11.0,11.0,medical equipment and services; health care providers or health care
20,Low,2023.0,0.0,3.0,27.0,30.0,medical equipment and services; health care providers or health care
21,Medium,2011.0,0.0,1.0,65.0,66.0,medical equipment and services; health care providers or health care
22,Medium,2012.0,1.0,3.0,120.0,124.0,medical equipment and services; health care providers or health care
23,Medium,2013.0,0.0,0.0,94.0,94.0,medical equipment and services; health care providers or health care
24,Medium,2014.0,25.0,24.0,203.0,252.0,medical equipment and services; health care providers or health care
25,Medium,2015.0,9.0,27.0,200.0,236.0,medical equipment and services; health care providers or health care
26,Medium,2016.0,7.0,7.0,162.0,176.0,medical equipment and services; health care providers or health care
27,Medium,2017.0,0.0,2.0,55.0,57.0,medical equipment and services; health care providers or health care
28,Medium,2018.0,10.0,11.0,145.0,166.0,medical equipment and services; health care providers or health care
29,Medium,2019.0,0.0,2.0,155.0,157.0,medical equipment and services; health care providers or health care
30,Medium,2020.0,0.0,3.0,38.0,41.0,medical equipment and services; health care providers or health care
31,Medium,2021.0,16.0,9.0,227.0,252.0,medical equipment and services; health care providers or health care
32,Medium,2022.0,1.0,5.0,119.0,125.0,medical equipment and services; health care providers or health care
33,Medium,2023.0,0.0,0.0,5.0,5.0,medical equipment and services; health care providers or health care
34,Very High,2011.0,9.0,76.0,669.0,754.0,medical equipment and services; health care providers or health care
35,Very High,2012.0,4.0,59.0,834.0,897.0,medical equipment and services; health care providers or health care
36,Very High,2013.0,23.0,149.0,1468.0,1640.0,medical equipment and services; health care providers or health care
37,Very High,2014.0,19.0,122.0,1584.0,1725.0,medical equipment and services; health care providers or health care
38,Very High,2015.0,16.0,146.0,1745.0,1907.0,medical equipment and services; health care providers or health care
39,Very High,2016.0,17.0,149.0,1362.0,1528.0,medical equipment and services; health care providers or health care
40,Very High,2017.0,17.0,240.0,2202.0,2459.0,medical equipment and services; health care providers or health care
41,Very High,2018.0,36.0,272.0,2830.0,3138.0,medical equipment and services; health care providers or health care
42,Very High,2019.0,39.0,281.0,2465.0,2785.0,medical equipment and services; health care providers or health care
43,Very High,2020.0,68.0,344.0,2785.0,3197.0,medical equipment and services; health care providers or health care
44,Very High,2021.0,188.0,886.0,6746.0,7820.0,medical equipment and services; health care providers or health care
45,Very High,2022.0,302.0,1246.0,6756.0,8304.0,medical equipment and services; health care providers or health care
46,Very High,2023.0,513.0,2079.0,9036.0,11628.0,medical equipment and services; health care providers or health care
