,Sector,Total documents,Climate (N),Health(N),Intersection(N),Climate,Health,Intersection
0,aerospace & defense,22,21,21,19,0.95,0.95,0.86
1,alternative energy,60,57,59,42,0.95,0.98,0.7
2,automobiles & parts,94,88,90,65,0.94,0.96,0.69
3,banks,127,117,120,78,0.92,0.94,0.61
4,beverages,65,62,63,44,0.95,0.97,0.68
5,chemicals,170,157,163,111,0.92,0.96,0.65
6,construction & materials,198,174,181,131,0.88,0.91,0.66
7,diversified,505,448,477,299,0.89,0.94,0.59
8,electricity,116,116,114,82,1.0,0.98,0.71
9,electronic & electrical equ...,136,121,124,82,0.89,0.91,0.6
10,finance and credit services,223,214,212,137,0.96,0.95,0.61
11,food producers,211,184,196,139,0.87,0.93,0.66
12,"gas, water & multiutilities",77,71,73,53,0.92,0.95,0.69
13,general industrials,261,230,238,140,0.88,0.91,0.54
14,household goods & home cons...,53,49,50,26,0.92,0.94,0.49
15,industrial engineering,83,74,74,48,0.89,0.89,0.58
16,industrial materials,56,51,53,37,0.91,0.95,0.66
17,industrial metals and mining,106,102,102,83,0.96,0.96,0.78
18,industrial support services,377,292,320,159,0.77,0.85,0.42
19,industrial transportation,135,124,130,83,0.92,0.96,0.61
20,investment banking and brokerage services,27,25,27,17,0.93,1.0,0.63
21,leisure goods,17,17,16,12,1.0,0.94,0.71
22,life insurance,34,32,32,24,0.94,0.94,0.71
23,media,59,49,52,21,0.83,0.88,0.36
24,medical equipment and services; health care providers,87,76,83,59,0.87,0.95,0.68
25,nonlife insurance,45,42,44,32,0.93,0.98,0.71
26,not applicable,106,73,77,26,0.69,0.73,0.25
27,"oil, gas, & coal",105,96,99,78,0.91,0.94,0.74
28,open end and miscellaneous investment vehicles,4,3,4,2,0.75,1.0,0.5
29,personal goods,91,85,86,60,0.93,0.95,0.66
30,pharmaceuticals & biotechno...,103,95,102,83,0.92,0.99,0.81
31,real estate investment & se...,109,102,104,76,0.94,0.95,0.7
32,real estate investment trusts,21,21,21,20,1.0,1.0,0.95
33,retailers,162,149,154,98,0.92,0.95,0.6
34,software & computer services,289,249,253,139,0.86,0.88,0.48
35,technology hardware & equip...,79,73,76,58,0.92,0.96,0.73
36,telecommunications equipment; telecommunications service providers,64,63,61,42,0.98,0.95,0.66
37,travel & leisure,90,75,76,39,0.83,0.84,0.43
